㑮	𫝈
鰑	𫚊
鰒	鳆
鰓	鳃
鰕	𫚥
鰗	𬶞
鰛	鳁
鰜	鳒
鰟	鳑
鰠	鳋
鰣	鲥
鰤	𫚕
鰥	鳏
鰦	𫚤
鰧	䲢
鰨	鳎
鰩	鳐
鰫	𫚦
鰭	鳍
鰮	鳁
鰱	鲢
鰲	鳌
鰳	鳓
鰵	鳘
鰶	𬶭
鰷	鲦
鰹	鲣
鰺	鲹
鰻	鳗
鰼	鳛
鰽	𫚧
鰾	鳔
鱀	𬶨
鱂	鳉
鱄	𫚋
鱅	鳙
鱆	𫠒
鱇	𩾌
鱈	鳕
鱉	鳖
鱊	𫚪
鱋	𬶬
鱌	𬶲
鱑	𬶫
鱒	鳟
鱓	𬶛
鱔	鳝
鱖	鳜
鱗	鳞
鱘	鲟
鱚	𬶮
鱝	鲼
鱞	𬶵
鱟	鲎
鱠	鲙
鱢	𫚫
鱣	鳣
鱤	鳡
鱥	𮬝
鱧	鳢
鱨	鲿
鱭	鲚
鱮	𫚈
鱯	鳠
鱲	𫚭
鱵	𮬤
鱷	鳄
鱸	鲈
鱹	𬶺
鱺	鲡
鳥	鸟
鳧	凫
鳩	鸠
鳬	凫
鳲	鸤
鳳	凤
鳴	鸣
鳶	鸢
鳷	𫛛
鳼	𪉃
鳽	𫛚
鳾	䴓
鴀	𫛜
鴁	𮭢
鴃	𫛞
鴅	𫛝
鴆	鸩
鴇	鸨
鴉	鸦
鴍	𬸀
鴐	𫛤
鴒	鸰
鴓	𮭤
鴔	𫛡
鴕	鸵
鴗	𫁡
鴛	鸳
鴜	𪉈
鴝	鸲
鴞	鸮
鴟	鸱
鴣	鸪
鴥	𫛣
鴦	鸯
鴨	鸭
鴮	𫛦
鴯	鸸
鴰	鸹
鴲	𪉆
鴳	𫛩
鴴	鸻
鴷	䴕
鴻	鸿
鴽	𫛪
鴿	鸽
鵀	𬸊
鵁	䴔
鵂	鸺
鵃	鸼
鵄	𬸈
鵊	𫛥
鵐	鹀
鵑	鹃
鵒	鹆
鵓	鹁
鵚	𪉍
鵜	鹈
鵝	鹅
鵟	𫛭
鵠	鹄
鵡	鹉
鵧	𫛨
鵩	𫛳
鵪	鹌
鵫	𫛱
鵬	鹏
鵮	鹐
鵯	鹎
鵰	雕 𫛲
鵲	鹊
鵷	鹓
鵾	鹍
鶀	𬸒
鶂	𬷼
鶄	䴖
鶇	鸫
鶉	鹑
鶊	鹒
鶌	𫛵
鶒	𫛶
鶓	鹋
鶕	𬸝
鶖	鹙
鶗	𫛸
鶘	鹕
鶚	鹗
鶠	𬸘
鶡	鹖
鶣	𬸜
鶥	鹛
鶦	𫛷
鶩	鹜
鶪	䴗
鶬	鸧
鶭	𫛯
鶯	莺
鶰	𫛫
鶱	𬸣
鶲	鹟
鶴	鹤
鶵	𬸅
鶹	鹠
鶺	鹡
鶻	鹘
鶼	鹣
鶿	鹚
鷀	鹚
鷁	鹢
鷂	鹞
鷃	𮭨
鷄	鸡
鷅	𫛽
鷇	𬆮
鷈	䴘
鷉	䴘
鷊	鹝
鷎	𬸢
鷐	𫜀
鷓	鹧
鷔	𪉑
鷖	鹥
鷗	鸥
鷙	鸷
鷚	鹨
鷜	𬸞
鷞	𮭪
鷟	𬸦
鷣	𫜃
鷤	𫛴
鷥	鸶
鷦	鹪
鷨	𪉊
鷩	𫜁
鷫	鹔
鷭	𬸪
鷯	鹩
鷰	𬸧
鷲	鹫
鷳	鹇
鷴	鹇
鷷	𫜄
鷸	鹬
鷹	鹰
鷺	鹭
鷼	鹇
鷽	鸴
鷿	䴙 𬸯
鸂	㶉
鸇	鹯
鸊	䴙
鸋	𫛢
鸌	鹱
鸎	𬸕
鸏	鹲
鸑	𬸚
鸕	鸬
鸖	𬸰
鸗	𫛟
鸘	鹴
鸚	鹦
鸛	鹳
鸜	𬸱
鸝	鹂
鸞	鸾
鹵	卤
鹹	咸
鹺	鹾
鹼	碱 硷
鹽	盐
麗	丽
麥	麦
麨	𪎊
麩	麸
麪	面 𮮄
麫	面
麬	𤿲
麭	𮮆
麯	曲
麰	𮮇
麲	𪎉
麳	𪎌
麴	曲 麹
麵	面 麺
麷	𫜑
麼	么 麽
麽	么 麽
黃	黄
黌	黉
黏	粘
點	点
黨	党
黲	黪
黴	霉
黶	黡
黷	黩
黽	黾
黿	鼋
鼂	鼌
鼇	鳌
鼉	鼍
鼕	冬
鼴	鼹
齇	齄
齊	齐
齋	斋
齎	赍
齏	齑
齒	齿
齔	龀
齕	龁
齖	𬹺
齗	龂
齘	𬹼
齙	龅
齜	龇
齟	龃
齠	龆
齡	龄
齣	出
齦	龈
齧	啮 𫜩
齩	𫜪
齪	龊
齬	龉
齭	𫜭
齮	𬺈
齯	𫠜
齰	𫜬
齲	龋
齴	𫜮
齶	腭
齷	龌
齹	𬺎
齼	𬺓
齽	𬺔
齾	𫜰
龍	龙
龎	厐
龐	庞
龑	䶮
龓	𫜲
龔	龚
龕	龛
龜	龟
龝	𬓫
龥	𬱳
龭	𩨎
龯	𨱆
鿁	䜤
鿓	鿒
𠁞	𠀾
𠌥	𠆿
𠎒	𫢨
𠏍	𪝘
𠏢	𠉗
𠐊	𫝋
𠐍	𫣫
𠐮	𬾣
𠑙	𫢹
𠑲	𫣛
𠒺	𪨇
𠖫	𫤽
𠗣	㓆
𠘥	𫥍
𠜲	𫥼
𠝿	𫦁
𠞆	𠛆
𠞭	𫦉
𠟪	𫥺
𠠎	𠚳
𠠏	𫥵
𠠝	𫥳
𠤩	𬙞
𠬙	𪠡
𠵹	𫩚
𠹛	𫩯
𠺮	𫪅
𠼗	𫪚
𠼤	𫪄
𠼮	𫩳
𠽃	𪠺
𠽈	𭈟
𠽸	𬱞
𠾬	𫪽
𠿕	𪜎
𡀿	𫫵
𡂒	𫪪
𡂡	𪢒
𡂿	𫪘
𡃄	𪡺
𡃕	𠴛
𡃤	𪢐
𡄔	𠴢
𡄖	𭈉
𡄣	𠵸
𡅏	𠲥
𡅥	𫬟
𡅧	𭉼
𡅯	𪢖
𡍫	𫭮
𡑍	𫭼
𡑎	𫭯
𡑭	𡋗
𡓁	𪤄
𡓾	𡋀
𡔖	𡍣
𡝵	𫰓
𡞵	㛟
𡟫	𫝪
𡠹	㛿
𡡎	𡞱
𡢃	㛠
𡢿	𭑸
𡤠	𫰣
𡤫	𫱿
𡮉	𡭜
𡮣	𡭬
𡮤	𫴼
𡳳	𡳃
𡷨	𫵸
𡸗	𪨩
𡹬	𪨹
𡺨	𫵶
𡻕	岁
𡽗	𡸃
𡽳	𫶊
𡽵	𫵹
𡾱	㟜
𡿖	𪩛
𢍰	𪪴
𢛔	𫹼
𢠼	𢙑
𢢀	𫺒
𢣐	𪬚
𢣚	𢘝
𢣭	𢘞
𢤜	𫺫
𢤞	𪬡
𢤩	𪫡
𢤱	𢘙
𢤿	𪬯
𢥠	𫹷
𢭯	𪭱
𢯦	𫼲
𢯩	𫼤
𢯷	𪭝
𢱡	𫼶
𢲩	𫼾
𢲫	𫼗
𢲸	𫼵
𢲾	𫼫
𢳂	𫼣
𢳚	𫽐
𢴦	𫽙
𢵣	𭡵
𢶑	𫽲
𢶒	𪭯
𢶢	𪭮
𢶫	𢫞
𢷞	𭢕
𢷬	𢭏
𢷮	𢫊
𢸙	𭡜
𢸳	𫾃
𢸴	𫾁
𢹿	𢬦
𢺥	𫽕
𢺳	𪮳
𣀘	𫾳
𣀷	𫾲
𣄸	𬀥
𣈶	暅
𣋋	𣈣
𣌂	𬁑
𣍐	𫧃
𣙆	𭪱
𣙎	㭣
𣙿	𬃮
𣛣	𬂻
𣜬	𪳗
𣝕	𣘷
𣞻	𣘓
𣠩	𣞎
𣠲	𣑶
𣡌	𬄬
𣤿	𬶷
𣫒	𫶲
𣯩	𣯣
𣯴	𣭤
𣯶	毶
𣻑	𭰒
𣼊	𭰗
𣽏	𪶮
𣾷	㳢
𣿉	𣶫
𤀪	𬈱
𤁣	𣺽
𤁪	𬈾
𤄖	𭰏
𤄬	𭰥
𤄷	𪶒
𤅈	𭲴
𤅙	𬇬
𤅶	𣷷
𤍖	𬊗
𤎤	𬝃
𤏐	𭴳
𤐴	𬊭
𤑳	𤎻
𤑹	𪹀
𤒎	𤊀
𤒘	𬊯
𤒦	𬋃
𤒻	𪹹
𤓌	𪹠
𤓩	𤊰
𤘀	𪺣
𤛠	𬌥
𤛮	𤙯
𤛱	𫞢
𤜆	𪺪
𤠮	𪺸
𤢟	𤝢
𤢻	𢢐
𤣤	𬌴
𤩂	𫞧
𤪥	𬍜
𤪺	㻘
𤫩	㻏
𤬅	𪼴
𤲓	𭻔
𤳷	𪽝
𤳸	𤳄
𤷃	𪽭
𤸫	𤶧
𤺔	𪽴
𤻲	𬏤
𥊝	𥅿
𥌃	𥅘
𥌚	𬑙
𥏝	𪿊
𥕥	𥐰
𥖅	𥐯
𥖏	𮀪
𥖩	𬒊
𥖲	𪿞
𥗇	𪿵
𥗑	𬒈
𥗴	𬒓
𥗺	𬒇
𥗽	𬒗
𥘃	𮀡
𥜐	𫀓
𥜰	𫀌
𥞵	𥞦
𥢊	𬓱
𥢢	䅪
𥢶	𫞷
𥢷	𫀮
𥣻	𦼖
𥨐	𥧂
𥪂	𥩺
𥯤	𫁳
𥱸	𬔯
𥴨	𫂖
𥴼	𫁺
𥵃	𥱔
𥵊	𥭉
𥶽	𫁱
𥸠	𥮋
𥻤	𬖖
𥻦	𫂿
𥻵	𬖞
𥼶	𬖘
𥼽	𥹥
𥽖	𥺇
𥽭	𬖺
𥾂	𮇤
𥾝	𬘔
𥾯	𫄝
𥿉	𬘚
𥿊	𦈈
𥿯	𬘦
𦀎	𮉥
𦀖	𫄦
𦂅	𦈒
𦂋	𬘸
𦃄	𦈗
𦃒	𬘼
𦃘	𬘽
𦃩	𫄯
𦃪	𬘗
𦄋	𬘞
𦄍	𬘾
𦄧	𬘿
𦄼	𬘳
𦅇	𫄪
𦅈	𫄵
𦅋	𬙃
𦅷	𬙅
𦆲	𫟇
𦆹	𬗔
𦒀	𫅥
𦔖	𫅼
𦘧	𡳒
𦜖	𬁺
𦞛	𬁸
𦟐	𬁳
𦟼	𫆝
𦠅	𫞅
𦡝	𫆫
𦡧	𮌌
𦢈	𣍨
𦣇	𬂂
𦣎	𦟗
𦧺	𫇘
𦪙	䑽
𦪽	𦨩
𦱌	𫇪
𦶆	𬜺
𦸷	𬝊
𦽒	𬝠
𦾟	𦶻
𦾶	𬞋
𧀜	𬞨
𧁿	𮏺
𧂅	𬞣
𧅤	𬝄
𧅰	𫉚
𧍴	𬟾
𧎈	𧌥
𧎵	𫊨
𧏺	𮓹
𧏻	𬠃
𧐱	𬟺
𧒯	𫊹
𧔥	𧒭
𧕟	𧉐
𧕦	𬠷
𧛸	𬡎
𧜁	𬡕
𧜂	𬡔
𧜗	䘞
𧜣	𬡍
𧜵	䙊
𧜶	𮖃
𧝞	䘛
𧞫	𫌋
𧞶	𬡦
𧟀	𧝧
𧟌	𬡠
𧠈	𬢇
𧠊	𫤸
𧠵	𬢉
𧡍	𬢈
𧡪	𬢏
𧡴	𫌫
𧢄	𫌬
𧢍	𬢓
𧢢	𬺟
𧣴	𬢕
𧥣	𬣚
𧥺	𬣝
𧦝	𫍞
𧦧	𫍟
𧦭	𬣢
𧧝	𬣨
𧧭	𬣺
𧨊	𬣶
𧨾	𬤂
𧩕	𫍭
𧩙	䜥
𧩦	𬤅
𧩧	𬤏
𧩪	𬤋
𧩼	𫍶
𧪞	𬤒
𧪡	𬤓
𧪦	𬤕
𧪪	𬤔
𧫚	𬤈
𧫝	𫍺
𧬅	𬤜
𧬇	𬤞
𧬌	𬤠
𧬤	𫍼
𧬨	𬣪
𧬪	𬤖
𧬮	𬤧
𧬻	𬣵
𧭈	𫍾
𧭹	𫍐
𧮆	𬤚
𧮇	𬣴
𧮈	𬤯
𧮓	𬤱
𧰆	𬤷
𧳟	𧳕
𧴪	𭕆
𧵊	𬥴
𧵳	䞌
𧶄	𬥷
𧶔	𧹓
𧶟	𬥹
𧶧	䞎
𧶲	𬥼
𧷎	𪠀
𧸘	𫎨
𧸦	𬥾
𧸪	𬥿
𧸫	𫬙
𧹈	𪥠
𧼮	𬦅
𧽢	𬦆
𧽤	𫎲
𧽯	𫎸
𨁂	𬦯
𨂐	𫏌
𨃘	𬦩
𨃜	𬦹
𨄣	𨀱
𨄰	𬦵
𨅍	𨁴
𨆅	𬦫
𨆉	𮛗
𨆪	𫏕
𨇁	𧿈
𨇍	𬧑
𨇗	𬦣
𨇞	𨅫
𨇤	𫏨
𨇰	𫏞
𨇽	𫏑
𨈀	𬧚
𨈆	𮛔
𨈇	𬦾
𨈊	𨂺
𨈌	𨄄
𨉹	𬧩
𨊰	䢀
𨊸	䢁
𨊻	𨐆
𨋁	𬨃
𨋚	𬨅
𨋢	䢂
𨌄	𬨋
𨌈	𫐍
𨍐	𬨏
𨍰	𫐔
𨍹	𬨐
𨎌	𫐋
𨎩	𬨒
𨎮	𨐉
𨏠	𨐇
𨏡	𬨕
𨏥	𨐊
𨘌	𬩎
𨞺	𫟫
𨟊	𫟬
𨢿	𨡙
𨣈	𨡺
𨣉	𬪫
𨣞	𨟳
𨣧	𨠨
𨤋	𬪯
𨤡	𬪺
𨤻	𨤰
𨥛	𨱀
𨥜	𬬴
𨥟	𫓫
𨥦	𬬳
𨥺	𬭂
𨦫	䦀
𨧀	𬭊
𨧚	𬭐
𨧜	䦁
𨧫	𬭑
𨧰	𫟽
𨧱	𨱊
𨨏	𬭛
𨨛	𫓼
𨨝	𬭘
𨨢	𫓿
𨨯	𬭟
𨨹	𬭞
𨩨	𬭠
𨩰	𫟾
𨪕	𫓮
𨪵	𬭧
𨫀	𬭫
𨫒	𨱐
𨬂	𬭱
𨬖	𫔏
𨬞	𬬶
𨭃	𬭷
𨭆	𬭶
𨭊	𬭒
𨭌	𬭵
𨭎	𬭳
𨭐	𬭙
𨭖	𫔑
𨭗	𬭇
𨭚	𬭺
𨭥	𬬼
𨭸	𫔐
𨮂	𨱕
𨮅	𬭹
𨮰	𬭾
𨮳	𫔒
𨯅	䥿
𨯗	𮢽
𨯟	𫔓
𨯵	𬮀
𨰃	𫔉
𨰋	𫓳
𨰥	𫔕
𨰭	𬮃
𨰲	𫔃
𨰷	𬮂
𨲳	𫔖
𨳑	𨸁
𨳒	𮤭
𨳕	𨸀
𨳙	𮤯
𨳨	𬮜
𨳿	𬮡
𨴑	𬮣
𨴗	𨸅
𨴤	𬮧
𨴹	𫔲
𨵆	𬮩
𨵌	𬮰
𨵗	𬮯
𨵤	𬮮
𨵩	𨸆
𨵬	𬮵
𨵸	𨸇
𨶀	𨸉
𨶏	𨸊
𨶮	𨸌
𨶯	𮤸
𨶲	𨸋
𨶻	𬮸
𨶿	𬮹
𨷈	𬮙
𨷯	𬮷
𨷲	𨸎
𨷶	𫔸
𨼳	𫔽
𨽏	𨸘
𩀨	𫕚
𩅙	𫕨
𩇉	𮦚
𩉙	𬰡
𩋰	𬰤
𩎒	𬰱
𩎖	𫖑
𩎠	𬰴
𩎢	𩏾
𩏂	𫖓
𩏌	𬰵
𩏠	𫖖
𩏪	𩏽
𩏴	𬰸
𩏷	𫃗
𩑃	𬰺
𩑔	𫖪
𩑣	𬱔
𩑦	𬱕
𩒎	𫖭
𩒜	𬱡
𩒝	𬱝
𩒲	𬱤
𩒼	𬱥
𩓣	𩖕
𩓥	𫖵
𩓸	𬱧
𩓹	𬱨
𩔈	𬱭
𩔊	𬱛
𩔑	𫖷
𩔳	𫖴
𩕊	𬱱
𩖁	𬺂
𩖰	𫠇
𩖿	𬱺
𩗀	𩙦
𩗓	𫗈
𩗡	𩙧
𩗴	𫗉
𩘀	𩙩
𩘚	𬰲
𩘝	𩙭
𩘹	𩙨
𩘺	𩙬
𩘻	𬲆
𩙈	𩙰
𩚅	𬲥
𩚚	𬲩
𩚛	𩟿
𩚥	𩠀
𩚩	𫗡
𩚵	𩠁
𩛆	𩠂
𩛌	𫗤
𩛎	𬲴
𩛞	𬲺
𩛡	𫗨
𩛩	𩠃
𩛲	𬲹
𩜇	𩠉
𩜠	𬲿
𩜦	𩠆
𩜰	𬳃
𩜵	𩠊
𩝑	𬳇
𩝔	𩠋
𩝠	𬳌
𩝡	𬳈
𩝣	𬳉
𩝽	𫗳
𩞃	𬲰
𩞄	𩠎
𩞆	𬲪
𩞉	𬳐
𩞡	𬲬
𩞦	𩠏
𩞬	𬳒
𩞯	䭪
𩟀	𬳓
𩟂	𬲸
𩟐	𩠅
𩟗	𫗚
𩟠	𬳔
𩠴	𩠠
𩡣	𩡖
𩡺	𩧦
𩢍	𬳷
𩢡	𩧬
𩢲	𬳺
𩢴	𩧵
𩢸	𩧳
𩢼	𬳻
𩢾	𩧮
𩣋	𬳼
𩣏	𩧶
𩣑	䯃
𩣔	𬳹
𩣫	𩧸
𩣵	𩧻
𩣺	𩧼
𩤊	𩧩
𩤙	𩨆
𩤲	𩨉
𩤵	𬴄
𩤸	𩨅
𩥄	𩨋
𩥇	𩨍
𩥉	𩧱
𩥑	𩨌
𩥲	𬴇
𩥼	𬴈
𩦚	𬴉
𩦠	𫠌
𩦺	𬴌
𩧆	𩨐
𩧐	𬴎
𩭙	𩬣
𩯁	𫙂
𩯆	𬴨
𩯳	𩯒
𩰀	𩬤
𩰹	𩰰
𩳤	𩲒
𩴵	𩴌
𩵚	𬶂
𩵦	𫠏
𩵩	𩽺
𩵱	𬶉
𩵹	𩽻
𩵺	𬶈
𩶀	𬶅
𩶁	𫚎
𩶘	䲞
𩶰	𩽿
𩶱	𩽽
𩷒	𬶒
𩷰	𩾄
𩸃	𩾅
𩸄	𫚝
𩸆	𬶖
𩸡	𫚟
𩸣	𬶙
𩸤	𬶚
𩸦	𩾆
𩸩	𬶝
𩸬	𬶜
𩹊	𬶦
𩹝	𬶡
𩹡	𬶘
𩹽	𬶩
𩺝	𬶪
𩻗	𫚨
𩻧	𬶯
𩻬	𫚩
𩻮	𫚘
𩻰	𬶰
𩻱	𬶱
𩼔	𬶶
𩼶	𫚬
𩽅	𬶸
𩽇	𩾎
𩽈	𬶳
𩽔	𬶹
𩽷	𬶻
𩾐	𬷻
𩾒	𬷽
𩿅	𫠖
𩿤	𫛠
𩿪	𪉄
𩿱	𬸃
𩿺	𬸁
𪀉	𬸂
𪀖	𫛧
𪀛	𬸉
𪀦	𪉅
𪀻	𬸋
𪀾	𪉋
𪁈	𪉉
𪁏	𮭦
𪁐	𬸎
𪁑	𬸑
𪁖	𪉌
𪁜	𬸏
𪁱	𬸐
𪁿	𬸔
𪂆	𪉎
𪂈	𬸖
𪂩	𬸗
𪂫	𬸓
𪃍	𪉐
𪃏	𪉏
𪃒	𫛻
𪃦	𬸙
𪃧	𫛹
𪃮	𬸟
𪃿	𬸠
𪄅	𬸌
𪄆	𪉔
𪄕	𪉒
𪅂	𫜂
𪅃	𬸤
𪅖	𬸥
𪅜	𬷿
𪅾	𬸨
𪆃	𬸫
𪆰	𬸭
𪆴	𬸮
𪆷	𫛾
𪇄	𬸬
𪇖	𬸡
𪇘	𬸍
𪇳	𪉕
𪈗	𬸄
𪈰	𮬽
𪈼	𪉓
𪉜	𬸵
𪉨	𬸶
𪉮	𬸷
𪉱	𬸸
𪉸	𫜊
𪉿	𬸹
𪋿	𫧮
𪌒	𮮅
𪌜	𪽂
𪌞	𬍞
𪌭	𫜓
𪌯	𬹈
𪌰	𬹇
𪌽	𬹋
𪌿	𬹌
𪍀	𬹊
𪍠	𫜕
𪍤	𬹍
𪍶	𬹎
𪑚	𬹗
𪑳	𬹕
𪒬	𬹖
𪒿	𬹘
𪓰	𫜟
𪓽	𬹤
𪔵	𪔭
𪕣	𬹭
𪗜	𬹽
𪗝	𬹻
𪗪	𬹿
𪗭	𬺀
𪗳	𬹾
𪗻	𬺁
𪗽	𬺄
𪘀	𪚏
𪘓	𬺇
𪘞	𬺆
𪘧	𬺋
𪘩	𬺊
𪘯	𪚐
𪘲	𬺌
𪙍	𬺏
𪙏	𫜯
𪙑	𬺑
𪙕	𬺐
𪙞	𬺅
𪙤	𬺒
𪚅	𬺖
𪚔	𬺛
𪚣	𬺝
𪝖	𫢟
𪟖	𠛾
𪢥	𫩸
𪮰	𫼽
𪯂	𭡆
𪳷	𬂱
𪴥	𬃏
𪷈	𭱀
𪷓	𣶭
𫁘	𮄅
𫃐	𬖟
𫃥	𮉩
𫃷	𮉭
𫄇	𬘹
𫄎	𫄄
𫉍	𮏀
𫋐	𬠈
𫌙	𬡱
𫍘	𫍏
𫒞	𬭋
𫒡	𫓷
𫖞	𬱘
𫗑	𬲵
𫗕	𬳄
𫜦	𫜫
𫣴	𫢲
𫥝	𫥔
𫦔	𫦋
𫦙	𫥽
𫦸	𫦰
𫧝	𪟲
𫨑	𪠃
𫬆	𫫏
𫶦	𫶄
𫻑	𫺹
𫽨	𫼭
𬀛	𪯼
𬄝	𬃛
𬆉	𬆂
𬉤	𬈏
𬍁	𬌵
𬒒	𬒄
𬗏	𬘣
𬗺	𬙀
𬙔	𬙏
𬣍	𬣫
𬣘	𬤗
𬥲	𬦀
𬧙	𬧔
𬮇	𬮝
𬮍	𮤷
𬯘	𬯊
𬱂	𬱚
𬱈	𬱩
𬲚	𬳎
𬵃	𬶃
𬵮	𬶑
𬹂	𬹆
𭀷	𭀳
𭑙	𮤮
𭒨	𫲄
𭢌	𪮅
𭳯	𭲍
𭷁	𭣣
𮝄	𮝳
𮤏	𮤳
𮤒	𬮬
𮦗	𮦅
𮨭	𬱾
𮨻	𬲱
𮬭	𮭣
