0余	0餘
扎实	紮實
扎寨	紮寨
扎带	紮帶
扎彩	紮彩
扎成	紮成
扎扎	紮紮
扎根	紮根
扎营	紮營
扎稳	紮穩
扎结	紮結
扎紧	紮緊
扎脚	紮腳
扎着	紮著
扎裹	紮裹
扎诈	紮詐
扎起	紮起
扎辫	紮辮
打不	打不
打不准	打不準
打制	打製
打拼	打拚
打斗	打鬥
打谷	打穀
托了	託了
托事	託事
托交	託交
托人	託人
托付	託付
托古	託古
托名	託名
托咎	託咎
托梦	託夢
托大	託大
托孤	託孤
托故	託故
托疾	託疾
托病	託病
托管	託管
托言	託言
托词	託詞
托买	託買
托卖	託賣
托身	託身
托辞	託辭
托运	託運
托过	託過
扛丸	摃丸
扛龟	摃龜
扣准	扣準
扮象	扮像
扶余	扶餘
批复	批覆
批斗	批鬥
批注	批註
扼塞	阨塞
找不	找不
找不准	找不準
找准	找準
承制	承製
抉别	訣別
把你	把你
把你干	把我幹
把姜	把薑
把方	把方
把方才	把才纔
抑制	抑制
抑郁	抑鬱
抓不	抓不
抓不准	抓不準
抓准	抓準
抓奸	抓姦
抓斗	抓鬥
投不	投不
投不准	投不準
投准	投準
抗御	抗禦
抗斗	抗鬥
折》	摺》
折卷	折捲
折子	摺子
折扇	摺扇
折冲	折衝
折叠	摺疊
折痕	摺痕
折纸	摺紙
折裙	摺裙
披发	披髮
抬扛	抬摃
抱着	抱著
抵御	抵禦
抵牾	牴牾
抵犊	抵犢
抵犊情深	舐犢情深
抵砺	砥礪
抵触	牴觸
抹刹	抹煞
抹台	抹檯
抹干	抹乾
抺干	抺乾
抽佣	抽佣
抽干	抽乾
抽烟	抽菸
抽签	抽籤
抽象	抽象
抿灭	泯滅
拂须	拂鬚
拆伙	拆夥
拆封	拆封
拆封后	拆封後
拆斗	拆鬥
拈须	拈鬚
拉炼	拉鍊
拉纤	拉縴
拉着	拉著
拉里	拉里
拉面	拉麵
抛准	拋準
拌面	拌麵
拍出	拍出
拍出好戏	拍齣好戲
拍台	拍台
拍台拍凳	拍檯拍凳
拐子	枴子
拐杖	枴杖
拓本	搨本
拓朴	拓樸
拓朴学	拓樸學
拓碑	搨碑
拗别	拗彆
拘系	拘繫
拙壮	茁壯
拚命	拚命
拚命干	拚命幹
拚斗	拚鬥
招魂	招魂
招魂幡	招魂旛
拜占	拜佔
拜占庭	拜占庭
拜托	拜託
拭干	拭乾
拮据	拮据
拼一	拼一
拼一拼	拚一拚
拼上	拼上
拼上一拼	拚上一拚
拼个	拚個
拼力	拚力
拼劲	拚勁
拼命	拚命
拼得	拼得
拼得过	拚得過
拼搏	拚搏
拼政	拚政
拼斗	拚鬥
拼死	拚死
拼杀	拚殺
拼活	拚活
拼生	拚生
拼经	拚經
拼舍	拚捨
拿不	拿不
拿不准	拿不準
拿准	拿準
拿奸	拿姦
拿破	拿破
拿破仑	拿破崙
挑了	挑了
挑了只	挑了隻
挑大	挑大
挑大梁	挑大樑
挑斗	挑鬥
挖松	挖鬆
振荡	振盪
挹郁	挹鬱
挺准	挺準
挺而	鋌而
挺象	挺像
挽歌	輓歌
挽发	挽髮
挽联	輓聯
挽词	輓詞
挽诗	輓詩
挽近	輓近
捂不	捂不
捂不住	摀不住
捂住	摀住
捂盖	摀蓋
捆扎	捆紮
捉不	捉不
捉不准	捉不準
捉准	捉準
捉只	捉隻
捉奸	捉姦
捉狭	促狹
捋胡	捋鬍
捋虎	捋虎
捋虎须	捋虎鬚
捋须	捋鬚
捍御	捍禦
捍拒	扞拒
捍格	扞格
捏不	捏不
捏不准	捏不準
捏准	捏準
捏制	捏製
捭合	捭闔
捶台	捶台
捶台拍凳	捶檯拍凳
捻手	撚手
捻指	撚指
捻胡	捻鬍
捻花	撚花
捻钱	撚錢
捻须	撚鬚
捻香	撚香
掀卷	掀捲
扫卷	掃捲
扫描	掃瞄
掉发	掉髮
掉发出	掉發出
掉发现	掉發現
掉发现象	掉髮現象
掌握	掌握
排泄	排泄
排骨	排骨
排骨面	排骨麵
掘松	掘鬆
挣松	掙鬆
挂彩	掛綵
挂历	掛曆
挂碍	罣礙
掠冲	掠衝
探知	探知
探知欲	探知慾
接斗	接鬥
控制	控制
控制欲	控制慾
控制面板	控制面板
推刨	推鉋
推情	推情
推情准理	推情準理
揉制	揉製
揉躏	蹂躪
揉面	揉麵
描涂	描塗
换只	換隻
换签	換籤
握不	握不
握不准	握不準
握准	握準
握发	握髮
握着	握著
揩台	揩檯
揩干	揩乾
揪采	揪採
揭丑	揭醜
挥别	揮別
挥卷	揮捲
挥杆	揮杆
挥发	揮發
挥发油	揮發油
搏斗	搏鬥
搜罗	蒐羅
搜证	蒐證
搜购	蒐購
搜集	蒐集
摒息	屏息
摸不	摸不
摸不准	摸不準
摸准	摸準
摺云	摺云
撞球	撞球
撞球台	撞球檯
掸子	撢子
抚恤	撫卹
抚须	撫鬚
撬松	撬鬆
扑卷	撲捲
挞虏	韃虜
挡御	擋禦
擐系	擐繫
担仔	擔仔
担仔面	擔仔麵
担担	擔擔
担担面	擔擔麵
擢发	擢髮
擢足	濯足
擦干	擦乾
擦干	擦乾
拧干	擰乾
拧松	擰鬆
摆布	擺佈
摆荡	擺盪
拢断	壟斷
摄制	攝製
摄影	攝影
摄影后	攝影後
摄服	懾服
摄象	攝像
挛生	孿生
支干	支幹
支烟	支菸
支签	支籤
收获	收穫
收采	收採
改念	改唸
改采	改採
放姜	放薑
放松	放鬆
放着	放著
故布	故佈
故里	故里
效尤	傚尤
效法	傚法
敖游	敖遊
教悔	教誨
教范	教範
敢再	敢再
敢再干杯	敢再乾杯
敢干	敢幹
敢念	敢唸
敢拼	敢拚
敢斗	敢鬥
敢松	敢鬆
散伙	散夥
散布	散佈
散署	佈署
敦厚	惇厚
敦敦	惇惇
敦朴	惇樸
敦睦	惇睦
敦笃	惇篤
敦诲	惇誨
敦谨	惇謹
整并	整併
整个	整個
整出	整出
整出剧	整齣劇
整出戏	整齣戲
整只	整隻
整周	整週
敷涂	敷塗
数只	數隻
数周	數週
数天	數天
数海	數海
数海里	數海里
数里	數里
文丑	文醜
文汇	文匯
文汇报	文匯報
文斗	文鬥
斑烂	斑斕
斗一	鬥一
斗一斗	鬥一鬥
斗上	鬥上
斗上一斗	鬥上一鬥
斗下	斗下
斗下去	鬥下去
斗不	鬥不
斗不过	鬥不過
斗久	鬥久
斗了	鬥了
斗了一斗	鬥了一鬥
斗什	斗什
斗什么	鬥什麼
斗他	鬥他
斗他一斗	鬥他一鬥
斗你	鬥你
斗来	鬥來
斗个	鬥個
斗倒	鬥倒
斗传	鬥傳
斗内	斗內
斗内力	鬥內力
斗出	鬥出
斗到	鬥到
斗剑	鬥劍
斗力	鬥力
斗劲	鬥勁
斗勇	鬥勇
斗胜	鬥勝
斗十	斗十
斗十余	鬥十餘
斗去	鬥去
斗口	鬥口
斗命	鬥命
斗嘴	鬥嘴
斗在	鬥在
斗垮	鬥垮
斗场	鬥場
斗士	鬥士
斗奇	鬥奇
斗她	鬥她
斗她一斗	鬥她一鬥
斗妍	鬥妍
斗完	鬥完
斗定	斗定
斗定力	鬥定力
斗将	鬥將
斗就	斗就
斗就斗	鬥就鬥
斗弄	鬥弄
斗得	鬥得
斗心	鬥心
斗忍	鬥忍
斗志	鬥志
斗快	鬥快
斗恶	鬥惡
斗意	鬥意
斗成	鬥成
斗我	鬥我
斗战	鬥戰
斗批	鬥批
斗技	鬥技
斗招	鬥招
斗拱	斗栱
斗拳	鬥拳
斗掌	鬥掌
斗擞	抖擻
斗败	鬥敗
斗敌	鬥敵
斗斗	鬥鬥
斗智	鬥智
斗本	斗本
斗本事	鬥本事
斗棋	鬥棋
斗机	斗機
斗机智	鬥機智
斗杀	鬥殺
斗殴	鬥毆
斗气	鬥氣
斗法	鬥法
斗灼	斗杓
斗然	陡然
斗争	鬥爭
斗牛	鬥牛
斗狗	鬥狗
斗狠	鬥狠
斗兽	鬥獸
斗毕	鬥畢
斗百	斗百
斗百余	鬥百餘
斗的	斗的
斗的过	鬥的過
斗眼	鬥眼
斗神	鬥神
斗私	鬥私
斗舰	鬥艦
斗草	鬥草
斗着	鬥著
斗艺	鬥藝
斗蟋	斗蟋
斗蟋蟀	鬥蟋蟀
斗角	鬥角
斗艳	鬥豔
斗赢	鬥贏
斗起	鬥起
斗趣	鬥趣
斗输	鬥輸
斗过	鬥過
斗酒	鬥酒
斗鸡	鬥雞
斗饮	鬥飲
斗闹	鬥鬧
斗魂	鬥魂
斗鱼	鬥魚
斗鹌	斗鵪
斗鹌鹑	鬥鵪鶉
斗丽	鬥麗
斗！	鬥！
料不	料不
料不准	料不準
料准	料準
斛斗	觔斗
斜冲	斜衝
斯里	斯里
新征	新徵
新历	新曆
新历史	新歷史
新舄	新潟
断发	斷髮
方便	方便
方便面	方便麵
于先	於先
于先生	于先生
于右	於右
于右任	于右任
于嗟	于嗟
于小	於小
于小姐	于小姐
于思	於思
于思于思	于思于思
于成	於成
于成龙	于成龍
于于	于于
于归	于歸
于归来	於歸來
于归去	於歸去
于归回	於歸回
于归家	於歸家
于归程	於歸程
于归路	於歸路
于归途	於歸途
于归还	於歸還
于氏	于氏
于美	於美
于美人	于美人
于谦	于謙
于阗	于闐
于飞	於飛
于飞之乐	于飛之樂
施舍	施捨
旁征	旁征
旁征博引	旁徵博引
旁徨	徬徨
旁惶	徬徨
旁注	旁註
旅游	旅遊
旋卷	旋捲
旋松	旋鬆
旋涡	漩渦
旗幡	旗旛
旗杆	旗杆
既准	既准
既准且	既準且
既象	既像
日余	日餘
日制	日製
日制定	日制定
日制订	日制訂
日升	日昇
日干	日干
日干夜干	日幹夜幹
日志	日誌
日本	日本
日本制	日本製
日本制定	日本制定
日本制订	日本制訂
日历	日曆
日历史	日歷史
日历年	日歷年
日历经	日歷經
日游	日遊
早占	早佔
早占勿药	早占勿藥
旬余	旬餘
旱烟	旱菸
昆仑	崑崙
昆山	崑山
昆曲	崑曲
昆腔	崑腔
明范	明範
昏瞑	昏暝
易斗	易斗
易斗的	易鬥的
易松	易鬆
星历	星曆
星历代	星歷代
星历任	星歷任
星历史	星歷史
星历尽	星歷盡
星历经	星歷經
星历险	星歷險
星辰	星辰
星辰表	星辰錶
映象	映像
春卷	春捲
春游	春遊
是丑	是醜
是干	是干
是干的	是乾的
是干脆	是乾脆
是白	是白
是白干	是白幹
时干	時干
时干下	時幹下
时宪	時憲
时宪历	時憲曆
晋升	晉陞
普里	普里
景致	景緻
智斗	智鬥
晾干	晾乾
暗伦	闇倫
暗冥	闇冥
暗劣	闇劣
暗弱	闇弱
暗斗	暗鬥
暗然	闇然
暗藏	暗藏
暗藏着	暗藏著
暗赞	暗讚
暝目	瞑目
畅游	暢遊
暂松	暫鬆
暴卷	暴捲
暴冲	暴衝
暴珍	暴珍
暴珍天物	暴殄天物
晒干	曬乾
晒谷	曬穀
曲卷	曲捲
曲薛	麴薛
曲酒	麴酒
更丑	更醜
更准	更準
更加	更加
更加丑	更加醜
更咸	更鹹
更松	更鬆
更要	更要
更要丑	更要醜
更象	更像
书台	書檯
书童	書僮
书签	書籤
最丑	最醜
最准	最準
会干	會幹
会干扰	會干擾
会干杯	會乾杯
会干涸	會乾涸
会干净	會乾淨
会干脆	會乾脆
会干裂	會乾裂
会斗	會鬥
会象	會像
会象棋	會象棋
月余	月餘
月历	月曆
有余	有餘
有出	有出
有出好戏	有齣好戲
有得	有得
有得斗	有得鬥
有感	有感
有感而云	有感而云
有象	有像
有象征	有象徵
有关	有關
有关系	有關係
有点	有點
有点丑	有點醜
服贗	服膺
朝干	朝乾
木制	木製
木梁	木樑
木签	木籤
木纳	木訥
未干	未乾
未愈	未癒
未斗	未鬥
未松	未松
未松下	未鬆下
未松口	未鬆口
未端	末端
本周	本週
朱喻	硃喻
朱批	硃批
朱砂	硃砂
朱矶	硃磯
朱笔	硃筆
朴修	朴修
朴修斯	樸修斯
朴学	樸學
朴实	樸實
朴拙	樸拙
朴玉	璞玉
朴直	樸直
朴素	樸素
朴质	樸質
朴野	樸野
李钟	李鐘
李钟郁	李鍾郁
材干	材幹
村落	村落
束发	束髮
杯干	杯乾
杯白	杯白
杯白干	杯白乾
杯面	杯麵
东升	東昇
东周	東周
东岳	東嶽
东东	東東
东东里面	東東裡面
东冲	東衝
东涂	東塗
东游	東遊
东涌	東涌
东里	東里
松一	松一
松一下	鬆一下
松一些	鬆一些
松一口气	鬆一口氣
松一松	鬆一鬆
松下	松下
松下一口	鬆下一口
松下了	鬆下了
松下来	鬆下來
松不	松不
松不松	鬆不鬆
松不紧	鬆不緊
松不开	鬆不開
松了	鬆了
松了松	鬆了鬆
松些	鬆些
松出	松出
松出一	鬆出一
松出口	鬆出口
松劲	鬆勁
松动	鬆動
松化	鬆化
松去	鬆去
松口	鬆口
松土	鬆土
松垮	鬆垮
松塌	鬆塌
松宽	鬆寬
松干	松幹
松弛	鬆弛
松得	松得
松得多	鬆得多
松快	鬆快
松懈	鬆懈
松手	鬆手
松掉	鬆掉
松放	鬆放
松散	鬆散
松晃	鬆晃
松松	鬆鬆
松柔	鬆柔
松毛	松毛
松毛松翼	鬆毛鬆翼
松气	鬆氣
松油	松油
松油管	鬆油管
松油门	鬆油門
松泛	鬆泛
松泥	鬆泥
松浮	鬆浮
松球	松毬
松甩	鬆甩
松筋	鬆筋
松糕	鬆糕
松绑	鬆綁
松紧	鬆緊
松线	鬆線
松缓	鬆緩
松绳	鬆繩
松肘	鬆肘
松肩	鬆肩
松脆	鬆脆
松脱	鬆脫
松腰	鬆腰
松蛋	鬆蛋
松解	鬆解
松起	鬆起
松软	鬆軟
松通	鬆通
松开	鬆開
松闲	鬆閒
松饼	鬆餅
松驰	鬆弛
松骨	鬆骨
松齿	鬆齒
板锉	板銼
果干	果乾
果系	果係
果系统	果系統
枝干	枝幹
枝芽	枝枒
枯干	枯幹
架梁	架樑
某只	某隻
染发	染髮
柔发	柔髮
柱梁	柱樑
栓住	拴住
栗人	慄人
栗冽	慄冽
栗栗	慄慄
栗然	慄然
栗声	慄聲
栗惊	慄驚
校准	校準
株象	株像
核复	核覆
根烟	根菸
格斗	格鬥
格范	格範
格里	格里
格里历	格里曆
桅杆	桅杆
案几	案几
桌面	桌面
桑干	桑乾
杆面	桿麵
梁上	樑上
梁下	樑下
梁折	樑折
梁柱	樑柱
梁脊	樑脊
梗直	鯁直
梯冲	梯衝
械斗	械鬥
梳发	梳髮
弃舍	棄捨
棉制	棉製
棕发	棕髮
栋梁	棟樑
棵象	棵像
植发	植髮
业余	業餘
极丑	極醜
极准	極準
极干	極乾
极待	極待
极待救	亟待救
极待解	亟待解
极极	亟亟
极象	極像
榔头	鎯頭
榨取	搾取
榨干	榨乾
榨渣	搾渣
榨甘	榨甘
榨甘蔗	搾甘蔗
榴连	榴槤
构陷	搆陷
槌打	搥打
槌背	搥背
槌胸	搥胸
槌头	鎚頭
槌鼓	搥鼓
标准	標準
标志	標誌
标杆	標竿
标注	標註
标签	標籤
标致	標緻
枢钮	樞紐
模制	模製
模范	模範
样丑	樣醜
样干	樣幹
样范	樣範
樵采	樵採
树干	樹幹
桥梁	橋樑
橘梗	桔梗
机器	機器
机器压制	機器壓製
机抒	機杼
横卷	橫捲
横征	橫徵
横梁	橫樑
横冲	橫衝
柜台	櫃檯
栏杆	欄杆
权力	權力
权力欲	權力慾
权斗	權鬥
欠准	欠準
欲令	欲令
欲令智昏	慾令智昏
欲壑	慾壑
欲女	慾女
欲孽	慾孽
欲念	慾念
欲望	慾望
欲求	欲求
欲求不满	慾求不滿
欲海	慾海
欲火	慾火
欲舍	欲捨
欲障	慾障
欷吁	欷吁
欺蒙	欺矇
钦崎	嶔崎
歉咎	歉疚
欧游	歐遊
正正	正正
正正当当	正正當當
正象	正像
此丑	此醜
步步	步步
步步高升	步步高陞
武斗	武鬥
历数	曆數
历日	曆日
历书	曆書
历月	曆月
历法	曆法
历落	曆落
历象	曆象
归并	歸併
归并不	歸並不
归并且	歸並且
归并非	歸並非
归依	歸依
归依佛门	皈依佛門
归依我佛	皈依我佛
归朴	歸璞
归真	歸真
归真反朴	歸真反璞
归究	歸咎
归里	歸里
死斗	死鬥
殊勋	殊勛
残余	殘餘
残干	殘幹
残废	殘廢
残废后	殘廢後
残肴	殘餚
殷勤	慇勤
毁谤	譭謗
殴斗	毆鬥
母丑	母醜
母后	母后
母范	母範
每只	每隻
每周	每週
比拼	比拚
比斗	比鬥
毛制	毛製
毛姜	毛薑
毛发	毛髮
毛里	毛裡
毛里求斯	毛里求斯
毛里裘斯	毛里裘斯
毛须	毛鬚
毫厘	毫釐
毫发	毫髮
民制	民製
气一	氣一
气一冲	氣一衝
气慨	氣概
气象	氣象
气郁	氣鬱
氤郁	氤鬱
水一	水一
水一冲	水一衝
水再	水再
水再冲	水再衝
水准	水準
水又	水又
水又冲	水又衝
水已	水已
水已干	水已乾
水已冲	水已衝
水干	水乾
水干掉	水乾掉
水干尽	水乾盡
水急	水急
水急冲	水急衝
水才	水才
水才干	水才乾
水冲	水沖
水泄	水泄
水泄不通	水洩不通
水清	水清
水清可见	水清可鑑
水濂	水簾
水谷	水谷
水谷之海	水穀之海
水道	水道
永志	永誌
永历	永曆
求知	求知
求知欲	求知慾
求签	求籤
污蔑	污衊
汨没	汩沒
决心	決心
决心干	決心幹
决择	抉擇
决斗	決鬥
沈淀	沈澱
沈郁	沈鬱
沈阳	瀋陽
沉淀	沉澱
沉郁	沉鬱
没准	沒準
没干	沒幹
没干净	沒乾淨
没干头	沒幹頭
没念	沒唸
没松	沒松
没松下	沒鬆下
没松口	沒鬆口
没松手	沒鬆手
没白	沒白
没白干	沒白幹
没辄	沒轍
冲上	沖上
冲上来	衝上來
冲下	衝下
冲不	沖不
冲不上	衝不上
冲不下	衝不下
冲不入	衝不入
冲不出	衝不出
冲不破	衝不破
冲不进	衝不進
冲不过	衝不過
冲不开	衝不開
冲乱	衝亂
冲了	沖了
冲了上	衝了上
冲了下	衝了下
冲了来	衝了來
冲了入	衝了入
冲了出	衝了出
冲了进	衝了進
冲了过	衝了過
冲他	衝他
冲你	衝你
冲来	衝來
冲倒	衝倒
冲克	衝克
冲入	衝入
冲冠	衝冠
冲出	衝出
冲到	衝到
冲刺	衝刺
冲克	衝剋
冲剌	衝剌
冲前	衝前
冲剑	衝劍
冲力	衝力
冲劲	衝勁
冲动	衝動
冲势	衝勢
冲去	衝去
冲口	衝口
冲向	衝向
冲向前	衝向前
冲呀	衝呀
冲咱	衝咱
冲啊	衝啊
冲回	衝回
冲在	沖在
冲在下	衝在下
冲在前	衝在前
冲在最前	衝在最前
冲坚	衝堅
冲坠	衝墜
冲天	衝天
冲奔	衝奔
冲她	衝她
冲将	衝將
冲往	衝往
冲得	沖得
冲得入	衝得入
冲得出	衝得出
冲得进	衝得進
冲得过	衝得過
冲心	衝心
冲我	衝我
冲拳	衝拳
冲掠	衝掠
冲撞	衝撞
冲扑	衝撲
冲击	衝擊
冲断	衝斷
冲杀	衝殺
冲决	衝決
冲冲	沖沖
冲冲冲	衝衝衝
冲波	衝波
冲浪	衝浪
冲激	衝激
冲然	衝然
冲犯	衝犯
冲盹	沖盹
冲盹儿	衝盹兒
冲破	衝破
冲程	衝程
冲穴	衝穴
冲突	衝突
冲脉	衝脈
冲自	沖自
冲自己	衝自己
冲至	衝至
冲落	衝落
冲着	衝著
冲要	衝要
冲起	衝起
冲越	衝越
冲跑	衝跑
冲军	衝軍
冲近	衝近
冲进	衝進
冲过	衝過
冲量	衝量
冲锋	衝鋒
冲锋枪	衝鋒槍
冲错	衝錯
冲门	衝門
冲开	衝開
冲闯	衝闖
冲阵	衝陣
冲陷	衝陷
冲头	沖頭
冲头阵	衝頭陣
冲风	衝風
冲驰	衝馳
冲！	衝！
河落	河落
河落海干	河落海乾
油面	油麵
治愈	治癒
治疔	治療
沾污	玷汙
沾污	玷汙
沾辱	玷辱
沿着	沿著
泛游	泛遊
泛滥	氾濫
泡制	泡製
泡面	泡麵
波里	波里
泥涂	泥塗
泥象	泥像
注:	註:
注上	註上
注册	註冊
注失	註失
注明	註明
注标	註標
注生	注生
注生娘娘	註生娘娘
注疏	註疏
注脚	註腳
注解	註解
注记	註記
注译	註譯
注释	註釋
注销	註銷
注：	註：
泰历	泰曆
泱郁	泱鬱
洗手	洗手
洗手不干	洗手不幹
洗发	洗髮
洗发动机	洗發動機
泄欲	洩慾
泄殖	泄殖
泄沓	泄沓
泄泄	泄泄
洪范	洪範
洲杯	洲盃
洲游	洲遊
活干	活幹
活象	活像
流卷	流捲
流干	流乾
流风	流風
流风余	流風餘
浚深	濬深
浪一	浪一
浪一冲	浪一衝
浪卷	浪捲
浪又	浪又
浪又冲	浪又衝
浪冲	浪衝
浪琴	浪琴
浪琴表	浪琴錶
浮松	浮鬆
浮签	浮籤
海函	海涵
海干	海乾
浸制	浸製
涂上	塗上
涂了	塗了
涂来	涂來
涂来涂去	塗來塗去
涂到	塗到
涂制	塗製
涂去	塗去
涂在	塗在
涂地	塗地
涂好	塗好
涂写	塗寫
涂层	塗層
涂布	塗布
涂得	塗得
涂成	塗成
涂抹	塗抹
涂掉	塗掉
涂改	塗改
涂料	塗料
涂有	塗有
涂油	塗油
涂涂	塗塗
涂消	塗消
涂满	塗滿
涂漆	塗漆
涂潭	塗潭
涂炭	塗炭
涂窜	塗竄
涂粉	塗粉
涂脂	塗脂
涂胶	塗膠
涂色	塗色
涂着	塗著
涂药	塗藥
涂蜡	塗蠟
涂装	塗裝
涂覆	塗覆
涂说	塗說
涂过	塗過
涂销	塗銷
涂饰	塗飾
涂鸦	塗鴉
涂鸭	塗鴨
涂黑	塗黑
涅盘	涅槃
消费	消費
消费欲	消費慾
液晶	液晶
液晶表	液晶錶
凉席	涼蓆
凉面	涼麵
淀粉	澱粉
淑范	淑範
凄息	棲息
凄戚	悽慼
泪干	淚乾
泪难	淚難
泪难干	淚難乾
净余	淨餘
净几	淨几
淫欲	淫慾
淬厉	淬礪
淳于	淳于
淳朴	淳樸
混肴	混淆
清扫	清掃
清扫夫	清掃伕
清淅	清晰
清理	清理
清道	清道
清道夫	清道伕
减征	減徵
渠冲	渠衝
测不	測不
测不准	測不準
测准	測準
港制	港製
游中	游中
游中国	遊中國
游亚	游亞
游亚洲	遊亞洲
游人	遊人
游仙	遊仙
游伴	遊伴
游侠	遊俠
游兵	遊兵
游冶	遊冶
游刃	遊刃
游北	游北
游北美	遊北美
游台	游台
游台湾	遊台灣
游唱	遊唱
游园	遊園
游子	遊子
游学	遊學
游客	遊客
游宦	遊宦
游山	遊山
游巡	遊巡
游廊	遊廊
游必	游必
游必有方	遊必有方
游惰	遊惰
游憩	遊憩
游戏	遊戲
游斗	游鬥
游方	遊方
游星	遊星
游乐	遊樂
游欧	游歐
游欧洲	遊歐洲
游历	遊歷
游湖	遊湖
游澳	游澳
游澳洲	遊澳洲
游牧	遊牧
游狎	遊狎
游猎	遊獵
游玩	遊玩
游目	遊目
游美	游美
游美洲	遊美洲
游兴	遊興
游船	遊船
游艇	遊艇
游荡	遊蕩
游艺	遊藝
游蜂	遊蜂
游行	遊行
游街	遊街
游览	遊覽
游观	遊觀
游记	遊記
游说	遊說
游豫	遊豫
游走	遊走
游踪	遊蹤
游军	遊軍
游逛	遊逛
游遍	遊遍
游错	遊錯
游非	游非
游非洲	遊非洲
游香	游香
游香港	遊香港
游骑	遊騎
游魂	遊魂
浑函	渾涵
涌卷	湧捲
湮郁	湮鬱
汤团	湯糰
汤面	湯麵
溜达	溜躂
溜须	溜須
溜须拍马	溜鬚拍馬
溪壑	谿壑
溶岩	熔岩
溶接	熔接
溶炉	熔爐
溶销	熔銷
溶铸	熔鑄
滴干	滴乾
滚卷	滾捲
满布	滿佈
漓水	灕水
漓江	灕江
漓湘	灕湘
汉周	漢周
漫游	漫遊
渍已	漬已
渍已干	漬已乾
渐愈	漸癒
渐松	漸鬆
浆划	槳劃
润发	潤髮
潦阔	遼闊
潮卷	潮捲
浇制	澆製
激干	激幹
激斗	激鬥
激荡	激盪
浓发	濃髮
浓纤	穠纖
湿发	濕髮
蒙松	濛鬆
滥征	濫徵
滥芋	濫芋
滥芋充数	濫竽充數
沥干	瀝乾
灌制	灌製
滩涂	灘塗
火折	火摺
火拼	火拚
火签	火籤
灰发	灰髮
灰尽	灰燼
灰胡	灰鬍
灰蒙	灰濛
灰郁	灰鬱
灸热	炙熱
炒干	炒乾
炒面	炒麵
炮制	炮製
炸毁	炸燬
为准	為準
为范	為範
乌丘	烏坵
乌发	烏髮
乌里	烏里
乌龙	烏龍
乌龙面	烏龍麵
烘制	烘製
烘干	烘乾
烘熏	烘燻
烤干	烤乾
烹制	烹製
焊接	銲接
焙干	焙乾
焚毁	焚燬
无余	無餘
无梁	無樑
无欲	無慾
无烟	無煙
无烟室	無菸室
无烟环境	無菸環境
无烟餐厅	無菸餐廳
无厘	無釐
无厘头	無厘頭
焦干	焦乾
然斗	然斗
然斗不	然鬥不
然无	然無
然无幸	然無倖
然象	然像
炼制	煉製
炼子	鍊子
炼锁	鍊鎖
煎制	煎製
烟卷	菸捲
烟商	菸商
烟客	菸客
烟枪	菸槍
烟民	菸民
烟没	湮沒
烟灰	菸灰
烟焦	煙焦
烟焦油	菸焦油
烟熏	煙燻
烟瘾	菸癮
烟草	菸草
烟酒	菸酒
烟头	菸頭
烟鬼	菸鬼
烟龄	菸齡
照准	照準
照干	照幹
照象	照像
煨干	煨乾
烦郁	煩鬱
煮面	煮麵
熏制	燻製
熏烟	燻煙
熏煮	燻煮
熏熏	燻燻
熏熟	燻熟
熏热	燻熱
熏肉	燻肉
熏蒸	燻蒸
熏猪	燻豬
熏鸭	燻鴨
熏鹅	燻鵝
熏黑	燻黑
荧光	螢光
荧屏	螢屏
荧幕	螢幕
荧郁	熒鬱
熔毁	熔燬
熨干	熨乾
熬制	熬製
灯彩	燈綵
燎发	燎髮
烧制	燒製
烧干	燒乾
烧毁	燒燬
燕游	燕遊
燕燕	燕燕
燕燕于飞	燕燕于飛
烫发	燙髮
烫面	燙麵
营干	營幹
烩制	燴製
烩干	燴乾
烬余	燼餘
争斗	爭鬥
片姜	片薑
片纸	片紙
片纸只字	片紙隻字
片言	片言
片言只语	片言隻語
牙签	牙籤
牛只	牛隻
牛柳	牛柳
牛柳面	牛柳麵
物志	物誌
物欲	物慾
牲干	牲干
牲干下	牲幹下
特制	特製
特征	特徵
牵一	牽一
牵一发	牽一髮
牵系	牽繫
犁牛	犛牛
犬只	犬隻
狂卷	狂捲
狂征	狂徵
狂冲	狂衝
狂赞	狂讚
狠、	狠、
狠、准	狠、準
狠且	狠且
狠且准	狠且準
狠又	狠又
狠又准	狠又準
狠干	狠幹
狠斗	狠鬥
狼借	狼藉
猛卷	猛捲
猛干	猛幹
猛斗	猛鬥
猛冲	猛衝
猜准	猜準
犹太	猶太
犹太历	猶太曆
猷豫	猶豫
奖杯	獎盃
独斗	獨鬥
独游	獨遊
独辟	獨闢
独辟蹊径	獨闢蹊徑
独钟	獨鍾
兽奸	獸姦
兽欲	獸慾
献丑	獻醜
玉佩	玉珮
玉制	玉製
王后	王后
玲胧	玲瓏
玻里	玻裡
玻里尼西	玻里尼西
现丑	現醜
现象	現象
球台	球檯
球果	毬果
球杆	球杆
球童	球僮
琅嬛	瑯嬛
琅当	琅璫
理发	理髮
琢制	琢製
琳琅	琳瑯
珐琅	琺瑯
瑞哲	睿哲
瑞智	睿智
瑶签	瑤籤
璀灿	璀璨
璨烂	燦爛
环佩	環珮
环游	環遊
瓶白	瓶白
瓶白干	瓶白乾
瓷制	瓷製
甘乃	甘乃
甘乃迪	甘迺迪
甘薯	甘藷
甚丑	甚醜
甚准	甚準
甚松	甚鬆
甚么	甚麼
